iter	Passed	Remaining
0	2	201
1	3	185
2	5	176
3	6	163
4	8	162
5	10	160
6	11	158
7	13	157
8	15	155
9	17	154
10	18	152
11	20	150
12	22	148
13	23	147
14	25	145
15	27	143
16	28	141
17	30	139
18	32	137
19	33	135
20	35	134
21	37	132
22	38	130
23	40	128
24	42	126
25	43	124
26	45	121
27	46	119
28	47	116
29	48	114
30	50	111
31	51	109
32	52	106
33	53	103
34	54	101
35	55	98
36	56	96
37	58	94
38	59	92
39	60	90
40	60	87
41	61	84
42	62	82
43	63	80
44	64	78
45	65	76
46	65	74
47	66	72
48	67	70
49	68	68
50	69	66
51	70	64
52	70	62
53	71	61
54	72	59
55	72	57
56	73	55
57	74	53
58	75	52
59	76	50
60	76	49
61	77	47
62	78	45
63	78	44
64	79	42
65	80	41
66	80	39
67	81	38
68	82	37
69	83	35
70	83	34
71	84	32
72	85	31
73	85	30
74	86	28
75	87	27
76	87	26
77	88	24
78	89	23
79	89	22
80	90	21
81	91	20
82	92	18
83	92	17
84	93	16
85	94	15
86	94	14
87	95	13
88	96	11
89	96	10
90	97	9
91	98	8
92	99	7
93	99	6
94	100	5
95	101	4
96	101	3
97	102	2
98	103	1
99	103	0
