iter	Passed	Remaining
0	1	1101
1	1	929
2	2	919
3	3	895
4	4	898
5	5	889
6	6	879
7	7	875
8	8	886
9	8	886
10	9	887
11	10	881
12	11	872
13	12	869
14	13	864
15	14	861
16	14	860
17	15	857
18	16	854
19	17	852
20	18	848
21	18	841
22	19	836
23	20	831
24	21	828
25	22	828
26	22	825
27	23	822
28	24	820
29	25	812
30	25	809
31	26	809
32	27	805
33	28	803
34	29	801
35	29	800
36	30	797
37	31	791
38	31	786
39	32	785
40	33	785
41	34	783
42	35	783
43	35	781
44	36	780
45	37	778
46	38	776
47	39	774
48	39	774
49	40	773
50	41	772
51	42	770
52	42	767
53	43	766
54	44	764
55	45	763
56	46	762
57	46	760
58	47	757
59	48	755
60	48	753
61	49	750
62	50	747
63	51	746
64	51	744
65	52	742
66	53	740
67	53	738
68	54	733
69	55	731
70	55	729
71	56	727
72	57	725
73	57	724
74	58	718
75	59	717
76	59	715
77	60	714
78	61	712
79	61	710
80	62	708
81	63	707
82	63	705
83	64	704
84	65	704
85	66	704
86	67	705
87	68	705
88	68	704
89	69	702
90	70	702
91	71	701
92	71	700
93	72	698
94	73	697
95	73	695
96	74	694
97	75	693
98	75	691
99	76	690
100	77	689
101	78	688
102	78	685
103	80	690
104	80	689
105	81	685
106	82	684
107	82	683
108	83	682
109	83	679
110	84	678
111	85	677
112	86	676
113	86	675
114	87	674
115	88	673
116	89	673
117	89	672
118	90	671
119	91	670
120	91	667
121	92	666
122	93	664
123	93	663
124	94	662
125	95	661
126	96	660
127	96	659
128	97	658
129	98	657
130	98	656
131	99	654
132	100	653
133	101	653
134	101	652
135	102	651
136	103	651
137	104	650
138	104	649
139	105	649
140	106	648
141	107	648
142	108	647
143	108	647
144	109	647
145	110	646
146	111	645
147	111	644
148	112	643
149	113	642
150	114	642
151	115	641
152	115	640
153	116	639
154	117	639
155	117	636
156	118	635
157	119	634
158	119	633
159	120	632
160	121	632
161	122	631
162	122	630
163	123	629
164	124	628
165	124	627
166	125	626
167	126	625
168	127	624
169	127	624
170	128	623
171	129	622
172	130	621
173	130	620
174	131	619
175	132	618
176	132	618
177	133	617
178	134	616
179	135	615
180	135	614
181	136	613
182	137	612
183	137	611
184	138	610
185	139	609
186	140	609
187	140	608
188	141	607
189	142	606
190	143	606
191	143	605
192	144	604
193	145	604
194	146	603
195	146	602
196	147	601
197	148	600
198	148	599
199	149	598
200	150	597
201	151	596
202	151	596
203	152	595
204	153	594
205	153	593
